commune_id,commune,prefecture,region,latitude,longitude,altitude_m,superficie_km2,population_densite,code_postal,type_commune,distance_capitale_km,zone_climatique
COM001,vogan,vo,maritime,6.2295,1.504,19,343,35,BP 272,Rurale,34,Côtière
COM002,hahotoe,vo,maritime,6.6892,1.6588,39,398,210,BP 239,Semi-urbaine,79,Côtière
COM003,anyronkope,vo,maritime,6.4158,1.2398,47,215,76,BP 495,Rurale,31,Côtière
COM004,mome,vo,maritime,6.2023,1.618,41,230,95,BP 60,Rurale,45,Côtière
COM005,dagbati,vo,maritime,6.3068,1.6507,25,318,58,BP 235,Rurale,52,Côtière
COM006,akoumape,vo,maritime,6.5616,1.1123,57,538,74,BP 32,Rurale,48,Côtière
COM007,sevagan,vo,maritime,6.2173,1.2472,17,310,64,BP 152,Rurale,10,Côtière
COM008,wogba,vo,maritime,6.2618,1.5716,23,242,51,BP 123,Rurale,42,Côtière
COM009,koutigue,vo,maritime,6.3401,1.5525,9,172,114,BP 145,Semi-urbaine,44,Côtière
COM010,lome,golfe,maritime,6.6952,1.4561,69,190,4690,BP 137,Urbaine,68,Côtière
COM011,aflao-gakli,golfe,maritime,6.2115,1.3873,43,303,79,BP 265,Rurale,21,Côtière
COM012,be-est,golfe,maritime,6.5814,1.2798,67,360,69,BP 237,Rurale,50,Côtière
COM013,be-ouest,golfe,maritime,6.6432,1.5084,35,229,92,BP 393,Rurale,65,Côtière
COM014,amoutive,golfe,maritime,6.4819,1.4127,66,587,35,BP 300,Rurale,44,Côtière
COM015,baguida,golfe,maritime,6.6165,1.1737,69,190,176,BP 265,Semi-urbaine,53,Côtière
COM016,togblekope,golfe,maritime,6.4349,1.6223,35,198,291,BP 58,Semi-urbaine,56,Côtière
COM017,aflao-sagbado,golfe,maritime,6.5254,1.4652,45,474,77,BP 174,Rurale,51,Côtière
COM018,legbassito,golfe,maritime,6.3067,1.306,14,353,379,BP 375,Semi-urbaine,21,Côtière
COM019,vakpossito,golfe,maritime,6.272,1.3712,62,554,95,BP 86,Rurale,23,Côtière
COM020,aneho,lacs,maritime,6.3144,1.3789,54,249,89,BP 235,Rurale,27,Côtière
COM021,glidji,lacs,maritime,6.3362,1.2126,25,181,377,BP 356,Semi-urbaine,22,Côtière
COM022,agouegan,lacs,maritime,6.5493,1.6887,70,337,53,BP 364,Rurale,70,Côtière
COM023,aklakou,lacs,maritime,6.35,1.3641,20,258,219,BP 277,Semi-urbaine,29,Côtière
COM024,ganave,lacs,maritime,6.3649,1.4155,61,502,79,BP 114,Rurale,34,Côtière
COM025,agbodrafo,lacs,maritime,6.5684,1.6742,34,504,45,BP 158,Rurale,70,Côtière
COM026,kouve,lacs,maritime,6.6558,1.2556,49,463,63,BP 323,Rurale,58,Côtière
COM027,tabligbo,yoto,maritime,6.2225,1.6213,8,393,30,BP 380,Rurale,46,Côtière
COM028,ahepe,yoto,maritime,6.4008,1.1897,58,488,25,BP 88,Rurale,29,Côtière
COM030,tokpli,yoto,maritime,6.3875,1.181,28,251,30,BP 449,Rurale,28,Côtière
COM031,gboto,yoto,maritime,6.357,1.1602,12,352,90,BP 391,Rurale,25,Côtière
COM032,zafi,yoto,maritime,6.1349,1.5794,35,290,50,BP 399,Rurale,41,Côtière
COM033,tchekpo,yoto,maritime,6.6128,1.6581,17,372,257,BP 304,Semi-urbaine,72,Côtière
COM034,afagnan,bas-mono,maritime,6.3878,1.2879,58,250,340,BP 364,Semi-urbaine,29,Côtière
COM035,agazou,bas-mono,maritime,6.5195,1.4087,67,420,25,BP 229,Rurale,48,Côtière
COM036,attitogon,bas-mono,maritime,6.2308,1.6298,33,292,314,BP 186,Semi-urbaine,47,Côtière
COM037,hompou,bas-mono,maritime,6.6689,1.4203,16,204,25,BP 117,Rurale,63,Côtière
COM038,kpetou,bas-mono,maritime,6.4763,1.5815,33,285,307,BP 278,Semi-urbaine,56,Côtière
COM039,tsevie,zio,maritime,6.1125,1.2066,66,102,1427,BP 124,Urbaine,3,Côtière
COM040,agbelouve,zio,maritime,6.5653,1.5996,42,364,37,BP 293,Rurale,64,Côtière
COM041,gblainvie,zio,maritime,6.1637,1.151,68,239,244,BP 369,Semi-urbaine,7,Côtière
COM042,gape,zio,maritime,6.6939,1.1789,16,278,80,BP 318,Rurale,62,Côtière
COM043,kovie,zio,maritime,6.3759,1.2368,21,417,33,BP 429,Rurale,27,Côtière
COM044,bolou,zio,maritime,6.5883,1.2586,20,342,272,BP 486,Semi-urbaine,50,Côtière
COM045,game,zio,maritime,6.2196,1.2554,9,550,40,BP 303,Rurale,10,Côtière
COM046,mission-tove,zio,maritime,6.1319,1.4152,58,565,90,BP 251,Rurale,22,Côtière
COM047,abobo,zio,maritime,6.3577,1.4918,9,518,85,BP 486,Rurale,39,Côtière
COM048,keve,ave,maritime,6.5429,1.4322,36,565,53,BP 369,Rurale,51,Côtière
COM049,assahoun,ave,maritime,6.4202,1.4697,49,527,35,BP 6,Rurale,42,Côtière
COM050,badja,ave,maritime,6.3149,1.1087,28,497,80,BP 251,Rurale,23,Côtière
COM051,noepe,ave,maritime,6.5822,1.3666,34,224,269,BP 37,Semi-urbaine,52,Côtière
COM052,akepe,ave,maritime,6.238,1.2078,41,229,48,BP 395,Rurale,11,Côtière
COM053,atakpame,ogou,plateaux,7.3133,1.1083,354,137,3058,BP 87,Urbaine,131,Transition
COM054,glei,ogou,plateaux,7.2962,1.2088,438,151,144,BP 463,Semi-urbaine,129,Transition
COM055,datcha,ogou,plateaux,7.4198,0.6178,204,541,82,BP 205,Rurale,157,Transition
COM056,akpare,ogou,plateaux,7.6443,1.0933,620,271,29,BP 448,Rurale,168,Plateau/Montagneux
COM057,ountivou,ogou,plateaux,6.8704,0.8606,580,600,61,BP 66,Rurale,90,Transition
COM058,kpalime,kloto,plateaux,7.0321,1.3751,413,133,1969,BP 284,Urbaine,101,Transition
COM059,agou,kloto,plateaux,7.5735,1.3233,454,316,82,BP 98,Rurale,160,Savane
COM060,kuma,kloto,plateaux,7.2998,0.8104,677,234,69,BP 163,Rurale,137,Transition
COM061,lavie,kloto,plateaux,7.5069,0.9189,566,506,78,BP 235,Rurale,156,Plateau/Montagneux
COM062,tove,kloto,plateaux,7.2901,1.2688,727,443,73,BP 3,Rurale,128,Transition
COM063,kpadape,kloto,plateaux,7.9062,1.2343,699,260,342,BP 259,Semi-urbaine,197,Plateau/Montagneux
COM064,yoh,kloto,plateaux,7.455,0.925,450,474,74,BP 387,Rurale,150,Transition
COM065,amlame,amou,plateaux,7.5964,0.9649,783,456,62,BP 424,Rurale,165,Plateau/Montagneux
COM066,hiheatro,amou,plateaux,7.227,1.0165,261,278,277,BP 118,Semi-urbaine,123,Transition
COM067,temedja,amou,plateaux,7.8,0.8909,345,551,92,BP 486,Rurale,188,Savane
COM068,otadi,amou,plateaux,6.8628,1.033,554,552,78,BP 359,Rurale,83,Transition
